Blender 4.5.2 LTS (hash ab25eae04993 built 2025-08-20 02:20:52)
Read blend: "C:\Users\SM - Dan\Documents\GitHub\slingmods-three-wheel-tour-rebuild\assets\blender\harbor\harbor.blend"
Fra:1 Mem:257.80M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_9_3.5
Fra:1 Mem:257.81M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_9_0.65
Fra:1 Mem:257.82M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_10
Fra:1 Mem:257.82M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_10_0.65
Fra:1 Mem:257.80M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_10_1.12
Fra:1 Mem:257.80M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_11
Fra:1 Mem:257.80M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_11_-3.5
Fra:1 Mem:257.81M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_11_3.5
Fra:1 Mem:257.81M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_11_0.65
Fra:1 Mem:257.81M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_12
Fra:1 Mem:257.82M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_12
Fra:1 Mem:257.82M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_12_-3.5
Fra:1 Mem:257.83M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_12_0.65
Fra:1 Mem:257.83M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_13
Fra:1 Mem:257.86M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_13
Fra:1 Mem:257.86M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_13_3.5
Fra:1 Mem:257.87M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_13_0.65
Fra:1 Mem:257.87M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_13_1.12
Fra:1 Mem:257.87M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_14
Fra:1 Mem:257.88M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_14_-3.5
Fra:1 Mem:257.88M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_14_3.5
Fra:1 Mem:257.88M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_14_0.65
Fra:1 Mem:257.89M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_14_1.12
Fra:1 Mem:257.89M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_15
Fra:1 Mem:257.90M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_15_-3.5
Fra:1 Mem:257.90M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_15_0.65
Fra:1 Mem:257.90M (Peak 257.90M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_15_1.12
Fra:1 Mem:257.91M (Peak 257.91M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_16
Fra:1 Mem:257.91M (Peak 257.91M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_16
Fra:1 Mem:257.91M (Peak 257.91M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_16_0.65
Fra:1 Mem:257.92M (Peak 257.92M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_16_1.12
Fra:1 Mem:257.92M (Peak 257.92M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_17
Fra:1 Mem:257.93M (Peak 257.93M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_17_3.5
Fra:1 Mem:257.93M (Peak 257.93M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_17_0.65
Fra:1 Mem:257.94M (Peak 257.94M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_17_1.12
Fra:1 Mem:257.94M (Peak 257.94M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_18
Fra:1 Mem:257.94M (Peak 257.94M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_18_3.5
Fra:1 Mem:257.90M (Peak 257.94M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_18_0.65
Fra:1 Mem:258.02M (Peak 258.02M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_18_1.12
Fra:1 Mem:258.06M (Peak 258.06M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_19
Fra:1 Mem:258.11M (Peak 258.11M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_19_-3.5
Fra:1 Mem:258.11M (Peak 258.11M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_19_0.65
Fra:1 Mem:258.12M (Peak 258.12M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_19_1.12
Fra:1 Mem:258.12M (Peak 258.12M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_20
Fra:1 Mem:258.17M (Peak 258.17M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_20
Fra:1 Mem:258.17M (Peak 258.17M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_20_-3.5
Fra:1 Mem:258.18M (Peak 258.18M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_20_3.5
Fra:1 Mem:258.18M (Peak 258.18M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_20_1.12
Fra:1 Mem:258.18M (Peak 258.18M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_21
Fra:1 Mem:258.19M (Peak 258.19M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_21
Fra:1 Mem:258.18M (Peak 258.19M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_21_-3.5
Fra:1 Mem:258.18M (Peak 258.19M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_21_3.5
Fra:1 Mem:258.19M (Peak 258.19M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_21_0.65
Fra:1 Mem:258.20M (Peak 258.20M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_21_1.12
Fra:1 Mem:258.20M (Peak 258.20M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_22
Fra:1 Mem:258.20M (Peak 258.20M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_22_-3.5
Fra:1 Mem:258.20M (Peak 258.20M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_22_3.5
Fra:1 Mem:258.21M (Peak 258.21M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_22_1.12
Fra:1 Mem:258.21M (Peak 258.21M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_23
Fra:1 Mem:258.21M (Peak 258.21M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_23_-3.5
Fra:1 Mem:258.22M (Peak 258.22M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_23_3.5
Fra:1 Mem:258.26M (Peak 258.26M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_24_3.5
Fra:1 Mem:258.40M (Peak 258.40M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_24_0.65
Fra:1 Mem:258.40M (Peak 258.40M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_25
Fra:1 Mem:258.52M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_25
Fra:1 Mem:258.52M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_25_-3.5
Fra:1 Mem:258.41M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_25_3.5
Fra:1 Mem:258.41M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_25_1.12
Fra:1 Mem:258.42M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_26_-3.5
Fra:1 Mem:258.42M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_26_3.5
Fra:1 Mem:258.44M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_26_0.65
Fra:1 Mem:258.45M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_26_1.12
Fra:1 Mem:258.44M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_27
Fra:1 Mem:258.44M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_27
Fra:1 Mem:258.44M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_27_-3.5
Fra:1 Mem:258.45M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_27_1.12
Fra:1 Mem:258.45M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_28
Fra:1 Mem:258.45M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_28
Fra:1 Mem:258.45M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_28_-3.5
Fra:1 Mem:258.46M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_28_3.5
Fra:1 Mem:258.46M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_28_0.65
Fra:1 Mem:258.47M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_28_1.12
Fra:1 Mem:258.48M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_29
Fra:1 Mem:258.48M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_29_1.12
Fra:1 Mem:258.49M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_30_-3.5
Fra:1 Mem:258.49M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_30_0.65
Fra:1 Mem:258.50M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_31
Fra:1 Mem:258.50M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_31
Fra:1 Mem:258.50M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_31_-3.5
Fra:1 Mem:258.50M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_31_3.5
Fra:1 Mem:258.51M (Peak 258.52M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_31_0.65
