Blender 4.5.2 LTS (hash ab25eae04993 built 2025-08-20 02:20:52)
Read blend: "C:\Users\SM - Dan\Documents\GitHub\slingmods-three-wheel-tour-rebuild\assets\blender\harbor\harbor.blend"
Fra:1 Mem:258.66M (Peak 258.66M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_10_3.5
Fra:1 Mem:258.66M (Peak 258.66M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_10_0.65
Fra:1 Mem:258.64M (Peak 258.66M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_11
Fra:1 Mem:258.76M (Peak 258.76M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_11
Fra:1 Mem:258.76M (Peak 258.76M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_11_-3.5
Fra:1 Mem:258.77M (Peak 258.77M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_11_0.65
Fra:1 Mem:258.85M (Peak 258.85M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_11_1.12
Fra:1 Mem:258.84M (Peak 258.85M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_12
Fra:1 Mem:258.84M (Peak 258.85M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_12
Fra:1 Mem:258.84M (Peak 258.85M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_12_-3.5
Fra:1 Mem:258.91M (Peak 258.91M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_12_3.5
Fra:1 Mem:258.92M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_12_0.65
Fra:1 Mem:258.92M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_12_1.12
Fra:1 Mem:258.85M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_13_3.5
Fra:1 Mem:258.86M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_13_0.65
Fra:1 Mem:258.87M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_13_1.12
Fra:1 Mem:258.87M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_14
Fra:1 Mem:258.87M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_14_-3.5
Fra:1 Mem:258.87M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_14_3.5
Fra:1 Mem:258.89M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_14_0.65
Fra:1 Mem:258.88M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_14_1.12
Fra:1 Mem:258.86M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_15_3.5
Fra:1 Mem:258.86M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_15_0.65
Fra:1 Mem:258.86M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_15_1.12
Fra:1 Mem:258.86M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_16
Fra:1 Mem:258.87M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_16
Fra:1 Mem:258.90M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_16_-3.5
Fra:1 Mem:258.90M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_16_3.5
Fra:1 Mem:258.91M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_16_0.65
Fra:1 Mem:258.91M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_16_1.12
Fra:1 Mem:258.92M (Peak 258.92M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_17
Fra:1 Mem:258.92M (Peak 258.93M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_17_-3.5
Fra:1 Mem:258.93M (Peak 258.93M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_17_1.12
Fra:1 Mem:258.90M (Peak 258.93M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_18
Fra:1 Mem:258.93M (Peak 258.93M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_18_-3.5
Fra:1 Mem:258.94M (Peak 258.94M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_18_3.5
Fra:1 Mem:258.94M (Peak 258.94M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_18_1.12
Fra:1 Mem:258.95M (Peak 258.95M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_19
Fra:1 Mem:258.95M (Peak 258.95M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_19
Fra:1 Mem:258.95M (Peak 258.95M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_19_-3.5
Fra:1 Mem:259.03M (Peak 259.03M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_19_0.65
Fra:1 Mem:259.03M (Peak 259.03M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_19_1.12
Fra:1 Mem:259.03M (Peak 259.03M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_20
Fra:1 Mem:259.03M (Peak 259.03M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_20
Fra:1 Mem:259.04M (Peak 259.04M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_20_-3.5
Fra:1 Mem:259.04M (Peak 259.04M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_20_0.65
Fra:1 Mem:259.08M (Peak 259.08M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_20_1.12
Fra:1 Mem:259.13M (Peak 259.13M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_21
Fra:1 Mem:259.13M (Peak 259.13M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_21_3.5
Fra:1 Mem:259.13M (Peak 259.13M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_21_0.65
Fra:1 Mem:259.19M (Peak 259.19M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_21_1.12
Fra:1 Mem:259.19M (Peak 259.19M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_22
Fra:1 Mem:259.19M (Peak 259.19M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_22_-3.5
Fra:1 Mem:259.19M (Peak 259.19M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_22_0.65
Fra:1 Mem:259.20M (Peak 259.20M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_22_1.12
Fra:1 Mem:259.21M (Peak 259.21M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_23
Fra:1 Mem:259.21M (Peak 259.21M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_23_0.65
Fra:1 Mem:259.22M (Peak 259.22M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_24
Fra:1 Mem:259.26M (Peak 259.26M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_24_3.5
Fra:1 Mem:259.26M (Peak 259.26M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_24_-3.5
Fra:1 Mem:259.28M (Peak 259.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_25
Fra:1 Mem:259.29M (Peak 259.29M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_25_-3.5
Fra:1 Mem:259.41M (Peak 259.41M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_25_3.5
Fra:1 Mem:259.41M (Peak 259.41M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_26
Fra:1 Mem:259.41M (Peak 259.41M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_26
Fra:1 Mem:259.46M (Peak 259.46M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_26_-3.5
Fra:1 Mem:259.42M (Peak 259.46M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_26_0.65
Fra:1 Mem:259.54M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_26_1.12
Fra:1 Mem:259.44M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_27_-3.5
Fra:1 Mem:259.44M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_27_0.65
Fra:1 Mem:259.44M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_27_1.12
Fra:1 Mem:259.45M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_28
Fra:1 Mem:259.45M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_28_-3.5
Fra:1 Mem:259.45M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_28_0.65
Fra:1 Mem:259.46M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_28_1.12
Fra:1 Mem:259.46M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_29
Fra:1 Mem:259.46M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_29_3.5
Fra:1 Mem:259.47M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_29_0.65
Fra:1 Mem:259.47M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_29_1.12
Fra:1 Mem:259.47M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_paving_30
Fra:1 Mem:259.48M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_30
