Blender 4.5.2 LTS (hash ab25eae04993 built 2025-08-20 02:20:52)
Read blend: "C:\Users\SM - Dan\Documents\GitHub\slingmods-three-wheel-tour-rebuild\assets\blender\vehicles\slingshot-p01.blend"
Fra:1 Mem:30.06M (Peak 30.06M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_right_machined_spoke.010
Fra:1 Mem:30.07M (Peak 30.07M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_right_machined_spoke.011
Fra:1 Mem:30.07M (Peak 30.07M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_spring_left
Fra:1 Mem:30.08M (Peak 30.08M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_right_machined_spoke.013
Fra:1 Mem:30.11M (Peak 30.11M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_right_machined_spoke.014
Fra:1 Mem:30.15M (Peak 30.15M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_right_machined_spoke.015
Fra:1 Mem:30.21M (Peak 30.21M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_right_machined_spoke.016
Fra:1 Mem:30.24M (Peak 30.24M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_right_machined_spoke.017
Fra:1 Mem:30.24M (Peak 30.24M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_right_machined_spoke.018
Fra:1 Mem:30.25M (Peak 30.25M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_right_machined_spoke.019
Fra:1 Mem:30.27M (Peak 30.27M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_right_brake_disc.001
